d13C,d15N,Time,Region
-24.43,6.77,1,Downstream
-25.28,5.59,1,Downstream
-27.06,7.87,1,Downstream
-27.51,7.27,1,Downstream
-24.37,6.20,1,Downstream
-24.40,6.19,1,Downstream
-25.40,5.95,1,Downstream
-26.27,5.83,1,Downstream
-25.84,7.16,2,Downstream
-27.71,7.53,2,Downstream
-24.63,6.91,2,Downstream
-24.78,7.94,2,Downstream
-25.40,6.99,3,Downstream
-25.46,7.28,3,Downstream
-27.01,8.92,1,Upstream
-28.11,7.76,1,Upstream
-27.23,7.97,1,Upstream
-26.61,8.32,1,Upstream
-27.18,7.65,2,Upstream
-27.08,8.21,2,Upstream
-28.85,7.41,2,Upstream
-25.95,8.01,2,Upstream
-26.50,8.33,2,Upstream
-27.18,7.82,3,Upstream
-28.45,7.34,3,Upstream
-25.94,8.96,3,Upstream
-25.76,8.85,3,Upstream
-28.56,7.31,3,Upstream
-27.91,6.85,3,Upstream
