Month,Species,d13C,CSD,d15N,NSD
Aug ,Biofilm,-25.79,0.01,2.10,0.49
Sept ,Biofilm,-23.68,0.89,2.24,0.12
Dec,Biofilm,-23.26,1.58,1.26,0.68
Aug ,Leaf Litter,-29.13,,1.82,
Sept ,Leaf Litter,-29.14,,1.69,
Dec,Leaf Litter,-29.20,,2.92,
Aug ,Brook Trout,-25.59,1.24,6.46,0.78
Sept ,Brook Trout,-25.74,1.42,7.38,0.45
Dec,Brook Trout,-25.43,0.04,7.13,0.21
Aug ,Perlidae,-27.83,0.20,2.81,0.05
Sept ,Perlidae,-27.26,0.82,3.34,0.22
Dec,Perlidae,-27.81,0.02,3.32,0.12
Aug ,Heptageniidae,-28.16,0.52,0.53,0.03
Sept ,Heptageniidae,-27.87,0.25,1.54,0.23
Dec,Heptageniidae,-27.72,1.22,1.89,0.17
