Month,Species,d13C,CSD,d15N,NSD
Aug ,Biofilm,-29.13,1.01,2.06,0.22
Sept ,Biofilm,-28.09,0.55,2.39,0.61
Dec,Biofilm,-28.37,1.95,2.08,0.38
Aug ,Leaf Litter,-27.09,,3.41,
Sept ,Leaf Litter,-21.75,,3.55,
Dec,Leaf Litter,-24.04,,3.44,
Aug ,Brook Trout,-27.24,0.63,8.24,0.51
Sept ,Brook Trout,-27.11,1.09,7.92,0.38
Dec,Brook Trout,-27.30,1.23,7.86,0.87
Aug ,Perlidae,-30.28,0.99,3.48,0.61
Sept ,Perlidae,-32.09,0.61,3.68,0.22
Dec,Perlidae,-30.67,0.09,3.69,0.38
Aug ,Heptageniidae,-29.69,0.67,1.68,0.28
Sept ,Heptageniidae,-31.67,0.03,2.23,1.08
Dec,Heptageniidae,-32.55,0.87,1.94,0.57
