d13C,d15N,Time,Region
-24.29,6.21,1,Downstream
-22.82,6.70,1,Downstream
-22.94,6.45,1,Downstream
-23.97,7.72,1,Downstream
-23.86,7.10,1,Downstream
-22.58,6.07,1,Downstream
-23.31,6.36,1,Downstream
-24.01,7.73,1,Downstream
-23.32,6.55,1,Downstream
-23.61,6.11,1,Downstream
-22.64,6.26,1,Downstream
-22.22,6.02,1,Downstream
-24.13,6.27,1,Downstream
-23.35,5.52,1,Downstream
-24.76,5.90,1,Downstream
-23.41,5.83,1,Downstream
-23.37,6.02,1,Downstream
-24.16,6.04,1,Downstream
-25.51,6.04,1,Downstream
-23.05,7.96,2,Downstream
-22.30,8.45,2,Downstream
-22.21,8.80,2,Downstream
-21.19,8.15,2,Downstream
-22.18,7.68,2,Downstream
-21.15,7.93,2,Downstream
-22.14,8.24,2,Downstream
-21.01,8.28,2,Downstream
-21.97,8.09,2,Downstream
-22.25,7.79,2,Downstream
-25.12,5.69,1,Upstream
-24.21,6.74,1,Upstream
-25.42,6.58,1,Upstream
-24.90,6.05,1,Upstream
-24.74,6.23,1,Upstream
-25.10,6.41,1,Upstream
-25.07,6.47,1,Upstream
-25.40,6.48,1,Upstream
-27.23,7.11,1,Upstream
-28.36,6.85,1,Upstream
-28.09,7.94,1,Upstream
-28.81,7.33,1,Upstream
-28.45,7.25,1,Upstream
-27.42,8.58,1,Upstream
-24.50,7.25,2,Upstream
-24.45,6.13,2,Upstream
-24.44,6.09,2,Upstream
-24.38,7.04,2,Upstream
-24.33,8.54,2,Upstream
-27.28,7.77,2,Upstream
-27.06,6.49,2,Upstream
-27.00,7.21,2,Upstream
-26.94,6.98,2,Upstream
-26.92,7.82,2,Upstream
-26.84,7.40,2,Upstream
