Month,Group,d13C,CSD,d15N,NSD,,,,,,,,,,,,,
September,Biofilm,-26.43,0.63,2.50,0.20,,,,,,,,,,,,,
December,Biofilm,-18.33,0.85,3.78,0.39,,,,,,,,,,,,,
September,Leaf Litter,-30.00,1.31,3.22,0.09,,,,,,,,,,,,,
December,Leaf Litter,-26.51,1.17,2.38,0.30,,,,,,,,,,,,,
September,Brook Trout,-23.59,0.80,6.36,0.59,,,,,,,,,,,,,
December,Brook Trout,-21.94,0.64,8.14,0.33,,,,,,,,,,,,,
September,Heptageniidae,-27.39,1.38,1.90,0.39,,,,,,,,,,,,,
December,Heptageniidae,-25.03,0.87,3.74,1.02,,,,,,,,,,,,,
September,Perlidae,-26.63,1.02,3.72,0.14,,,,,,,,,,,,,
December,Perlidae,-23.74,0.43,5.80,0.38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
