Month,Species,d13C,CSD,d15N,NSD
Aug ,Biofilm,-25.47,1.65,2.39,0.15
Sept ,Biofilm,-22.31,0.15,2.70,0.32
Dec,Biofilm,-18.91,2.24,4.07,0.47
Aug ,Leaf Litter,-21.17,1.75,5.32,0.86
Sept ,Leaf Litter,-20.82,0.91,4.31,0.99
Dec,Leaf Litter,-18.75,1.89,5.60,1.50
Aug ,Brook Trout,-23.36,1.71,6.65,0.94
Sept ,Brook Trout,-22.12,1.19,9.38,0.37
Dec,Brook Trout,-21.17,1.35,10.70,0.79
Aug ,Perlidae,-25.22,0.67,3.39,0.26
Sept ,Perlidae,-25.17,0.37,4.86,0.62
Dec,Perlidae,-23.84,0.59,7.06,0.65
Aug ,Heptageniidae,-25.25,0.49,1.85,0.32
Sept ,Heptageniidae,-24.90,0.62,1.91,0.40
Dec,Heptageniidae,-23.92,0.39,3.63,0.34
