Month,Species,d13C,CSD,d15N,NSD,,,,,,
August,Biofilm,-27.61,2.78,2.49,0.09,,,,,,
September,Biofilm,-28.26,2.01,2.50,1.09,,,,,,
December,Biofilm,-26.58,1.69,2.24,0.49,,,,,,
August,Leaf litter,-27.48,3.18,2.47,1.65,,,,,,
September,Leaf litter,-27.01,0.98,3.65,0.23,,,,,,
December,Leaf litter,-28.53,0.78,2.05,0.45,,,,,,
August,Brook trout,-26.18,1.87,8.16,0.29,,,,,,
September,Brook trout,-25.05,1.34,7.70,0.69,,,,,,
December,Brook trout,-25.24,1.91,7.97,0.32,,,,,,
August,Perlidae,-28.17,1.49,3.63,0.41,,,,,,
September,Perlidae,-28.20,2.48,3.18,0.15,,,,,,
December,Perlidae,-26.64,2.13,3.92,0.47,,,,,,
August,Heptageniidae,-28.05,1.45,2.02,0.48,,,,,,
September,Heptageniidae,-28.96,3.61,1.92,0.26,,,,,,
December,Heptageniidae,-28.87,2.02,2.05,0.29,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
